Time,Channel A,Channel B
(s),(mV),(V)

1011.46671942,18.00757000,-0.01220852
1011.60005276,17.07362000,0.00000000
1011.73338610,17.76340000,-0.01220852
1011.86671944,17.86717000,-0.03174216
1012.00005278,17.14687000,-0.01220852
1012.13338612,17.62910000,0.00000000
1012.26671946,18.04420000,0.00976682
1012.40005280,17.00647000,-0.01220852
1012.53338614,17.59248000,0.00000000
1012.66671948,18.00757000,0.00000000
1012.80005282,16.96984000,-0.01220852
1012.93338616,17.73288000,0.00976682
1013.06671950,17.94042000,-0.02197534
1013.20005284,17.14687000,0.00000000
1013.33338618,17.80002000,-0.01220852
1013.46671952,17.94042000,0.00000000
1013.60005286,17.04310000,0.00976682
1013.73338620,17.76340000,0.00000000
1013.86671954,17.90380000,-0.01220852
1014.00005288,17.04310000,-0.01220852
1014.13338622,17.83665000,0.02930045
1014.26671956,17.90380000,0.00000000
1014.40005291,17.04310000,-0.01220852
1014.53338625,17.73288000,0.00976682
1014.66671959,17.94042000,0.01953363
1014.80005293,16.93932000,0.01953363
1014.93338627,17.69625000,0.00976682
1015.06671961,17.80002000,-0.01220852
1015.20005295,16.86607000,-0.01220852
1015.33338629,17.73288000,0.00976682
1015.46671963,17.94042000,0.00976682
1015.60005297,17.00647000,-0.01220852
1015.73338631,17.86717000,-0.01220852
1015.86671965,17.97094000,-0.01220852
1016.00005299,16.90270000,0.00976682
1016.13338633,17.73288000,-0.02197534
1016.26671967,17.90380000,0.00976682
1016.40005301,16.93932000,0.00976682
1016.53338635,17.83665000,-0.01220852
1016.66671969,17.86717000,-0.01220852
1016.80005303,16.86607000,0.00000000
1016.93338637,17.69625000,0.01953363
1017.06671971,17.76340000,0.00000000
1017.20005305,16.90270000,0.00000000
1017.33338639,17.62910000,0.01953363
1017.46671973,17.80002000,0.00000000
1017.60005307,16.93932000,0.00000000
1017.73338641,17.80002000,0.00976682
1017.86671975,17.86717000,0.00000000
1018.00005309,16.96984000,0.00000000
1018.13338643,17.86717000,-0.01220852
1018.26671977,17.80002000,-0.01220852
1018.40005311,16.69515000,0.00976682
1018.53338645,17.86717000,0.00000000
1018.66671979,17.80002000,-0.04395068
1018.80005313,16.83555000,-0.02197534
1018.93338647,17.90380000,0.01953363
1019.06671982,17.83665000,-0.02197534
1019.20005316,16.83555000,0.00976682
1019.33338650,17.86717000,0.00000000
1019.46671984,17.69625000,0.00976682
1019.60005318,16.83555000,0.00000000
1019.73338652,17.94042000,0.01953363
1019.86671986,17.69625000,0.01953363
1020.00005320,16.76840000,-0.01220852
1020.13338654,17.86717000,-0.01220852
1020.26671988,17.69625000,0.00000000
1020.40005322,16.90270000,0.00976682
1020.53338656,18.00757000,-0.01220852
1020.66671990,17.80002000,-0.02197534
1020.80005324,16.93932000,0.00000000
1020.93338658,17.86717000,0.02930045
1021.06671992,17.48871000,-0.01220852
1021.20005326,17.11024000,0.00000000
1021.33338660,17.86717000,0.00000000
1021.46671994,17.52533000,0.00976682
1021.60005328,17.00647000,-0.01220852
1021.73338662,17.97094000,-0.02197534
1021.86671996,17.52533000,0.00000000
1022.00005330,16.90270000,-0.01220852
1022.13338664,17.90380000,-0.02197534
1022.26671998,17.45819000,0.00000000
1022.40005332,16.93932000,-0.02197534
1022.53338666,18.00757000,0.00000000
1022.66672000,17.42156000,0.00000000
1022.80005334,17.04310000,-0.01220852
1022.93338668,18.04420000,-0.03174216
1023.06672002,17.56196000,-0.01220852
1023.20005336,17.07362000,-0.01220852
1023.33338670,17.90380000,0.00000000
1023.46672004,17.59248000,0.00000000
1023.60005338,17.04310000,0.00000000
1023.73338673,18.00757000,0.00000000
1023.86672007,17.28116000,0.00000000
1024.00005341,16.90270000,-0.01220852
1024.13338675,18.04420000,-0.01220852
1024.26672009,17.31779000,0.00976682
1024.40005343,16.90270000,-0.01220852
1024.53338677,18.11134000,0.00000000
1024.66672011,17.35441000,0.00000000
1024.80005345,17.11024000,-0.01220852
1024.93338679,17.94042000,-0.01220852
1025.06672013,17.45819000,0.00000000
1025.20005347,17.11024000,-0.01220852
1025.33338681,18.04420000,0.00000000
1025.46672015,17.35441000,0.00976682
1025.60005349,17.17739000,-0.02197534
1025.73338683,18.11134000,0.00000000
1025.86672017,17.25064000,-0.01220852
1026.00005351,17.25064000,-0.01220852
1026.13338685,18.00757000,-0.01220852
1026.26672019,17.38493000,0.00000000
1026.40005353,17.14687000,0.00000000
1026.53338687,18.17849000,0.00000000
1026.66672021,17.25064000,-0.01220852
1026.80005355,17.11024000,0.01953363
1026.93338689,18.00757000,-0.01220852
1027.06672023,17.25064000,0.00976682
1027.20005357,17.21402000,-0.02197534
1027.33338691,18.17849000,0.00000000
1027.46672025,17.21402000,-0.01220852
